사타, 87, 179
가파, 69, 197
나가, 63, 165
나바, 49, 182
타가, 42, 149
하바, 99, 141
라자, 98, 188
다자, 64, 148
가아, 51, 164
파라, 47, 172
마타, 90, 153
카아, 84, 172
자마, 99, 195
아라, 70, 179
차바, 93, 147
사라, 46, 194
라사, 57, 143
가마, 52, 187
자사, 59, 199
마차, 58, 144
마바, 65, 196
자카, 77, 178
자카, 65, 153
타다, 81, 172
자나, 41, 141
마아, 91, 197
타타, 88, 140
라아, 65, 186
차차, 44, 145
카다, 83, 166
아라, 40, 162
나바, 68, 146
나다, 47, 188
마하, 60, 180
다마, 84, 186
가나, 45, 176
파하, 97, 167
가파, 74, 156
가라, 47, 177
사파, 51, 166
차차, 71, 164
타다, 53, 159
마가, 82, 144
다바, 82, 174
아나, 72, 159
카나, 86, 182
나하, 61, 155
바가, 92, 165
파카, 60, 180
다다, 40, 180
마나, 85, 159
마아, 75, 195
사카, 71, 192
마타, 82, 167
다사, 60, 163
하카, 86, 192
카라, 85, 162
마아, 58, 162
나자, 58, 199
파타, 78, 161
차타, 58, 187
아가, 88, 175
사아, 52, 176
파카, 43, 180
라차, 44, 145
가라, 74, 187
하나, 60, 156
다마, 97, 185
사파, 60, 187
가하, 88, 156
차아, 64, 185
아아, 68, 181
가바, 88, 199
차다, 41, 148
차차, 55, 164
타나, 63, 166
가하, 94, 140
타자, 49, 196
하가, 51, 177
카하, 60, 156
나파, 86, 156
사바, 58, 168
마사, 70, 170
파바, 55, 183
자카, 43, 194
나아, 49, 199
하나, 82, 196
다타, 57, 186
바타, 47, 188
파사, 51, 149
라카, 67, 178
라카, 61, 154
바사, 58, 169
사마, 81, 198
하라, 61, 154
마하, 56, 151
나카, 42, 189
아자, 44, 151
사카, 71, 176
사가, 99, 144
가차, 94, 195
아마, 95, 160
카차, 86, 164
하하, 46, 195
카가, 70, 164
나라, 40, 175
바카, 66, 159
나가, 61, 146
자하, 83, 175
라가, 95, 140
카라, 70, 191
다카, 96, 179
바가, 54, 158
라하, 79, 174
사자, 56, 147
하가, 76, 180
사바, 76, 170
카바, 56, 190
라사, 58, 191
하타, 55, 192
라나, 51, 171
가타, 68, 140
마라, 53, 195
하나, 43, 171
가가, 90, 146
가차, 86, 174
카사, 62, 189
라하, 59, 154
하라, 59, 156
사다, 68, 158
하자, 97, 198
하나, 40, 159
차라, 88, 178
다하, 91, 155
다마, 95, 162
라파, 69, 151
라하, 77, 198
타하, 41, 165
아라, 91, 191
아라, 41, 185
타가, 87, 162
차하, 63, 154
카아, 79, 195
차하, 54, 185
사타, 42, 155
다가, 86, 182
사라, 69, 162
자바, 72, 195
아하, 94, 145
아바, 95, 169
파마, 46, 182
라사, 98, 155
차가, 94, 164
라타, 90, 163
타마, 97, 140
타타, 81, 182
타차, 56, 151
나가, 88, 146
가사, 41, 179
나마, 74, 174
가사, 42, 150
파아, 68, 169
라카, 64, 198
자마, 46, 196
사바, 66, 175
사바, 99, 151
나아, 45, 165
사파, 55, 164
파마, 84, 156
사가, 43, 174
하차, 66, 180
타카, 94, 168
사마, 72, 166
차마, 51, 177
파다, 44, 181
하아, 40, 174
가타, 69, 170
라파, 88, 195
타카, 74, 185
라다, 43, 166
카다, 42, 189
사나, 73, 194
바가, 73, 142
바하, 65, 193
바아, 75, 182
나바, 98, 168
가타, 47, 142
아사, 73, 183
아나, 89, 154
라마, 49, 161
라아, 74, 172
차카, 79, 187
타나, 88, 175
가파, 75, 198
타바, 58, 141
파다, 48, 198
라타, 70, 174
하파, 83, 173
카바, 88, 174
파바, 77, 173
다차, 59, 182
카자, 86, 179
라하, 93, 177
자하, 40, 174
자차, 92, 155
바나, 92, 158
카하, 43, 155
카차, 40, 166
자다, 82, 141
사나, 99, 180
파자, 75, 188
자차, 71, 145
파아, 42, 187
아마, 76, 184
가차, 61, 193
라파, 87, 185
다나, 48, 143
나바, 84, 175
마나, 65, 193
사가, 48, 194
바나, 53, 142
가마, 85, 172
나나, 48, 157
다나, 55, 150
다사, 84, 174
나다, 46, 148
나마, 50, 146
마가, 65, 183
차자, 64, 188
타다, 79, 189
나카, 47, 157
자라, 60, 163
가마, 82, 177
마가, 54, 157
아라, 71, 152
가사, 48, 189
나나, 52, 175
타카, 64, 198
가자, 63, 195
자가, 81, 159
아나, 45, 188
자파, 70, 144
파아, 45, 153
마차, 93, 149
타파, 69, 146
하사, 43, 154
사나, 73, 177
카라, 80, 173
아카, 77, 176
가라, 69, 184
마카, 50, 169
차차, 92, 141
카가, 60, 155
타카, 78, 192
카마, 47, 198
아하, 71, 161
가자, 54, 169
사타, 87, 189
나다, 86, 187
라가, 60, 147
나자, 66, 146
마사, 54, 184
가차, 93, 170
사나, 87, 194
다가, 62, 172
사파, 64, 189
자라, 84, 150
바타, 92, 196
다나, 61, 143
나아, 84, 156
가다, 57, 184
나마, 75, 161
타다, 83, 154
아카, 88, 187
가하, 61, 193
다나, 47, 181
차파, 44, 195
자자, 54, 180
카타, 79, 158
라라, 63, 188
카하, 70, 192
사아, 94, 144
하마, 62, 145
나마, 81, 163
가라, 74, 195
다파, 95, 142
다마, 88, 145
마다, 91, 143
하자, 67, 173
마아, 89, 165
다카, 98, 198
라다, 87, 157
나파, 76, 194
나마, 64, 187
아다, 91, 180
가아, 46, 195
가차, 84, 173
나사, 43, 180
가가, 71, 189
사카, 53, 145
마가, 78, 161
사다, 89, 148
마파, 84, 183
하라, 75, 189
마라, 89, 177
타하, 76, 191
카라, 74, 151
파마, 77, 176
가나, 90, 158
아바, 79, 194
다바, 55, 192
차파, 50, 182
다사, 82, 146
타하, 67, 174
아타, 93, 188
카바, 94, 171
아가, 81, 155
가라, 47, 149
다자, 95, 160
가타, 52, 174
마아, 99, 159
파바, 63, 160
타사, 52, 173
마아, 44, 151
파다, 60, 148
바아, 48, 195
라라, 78, 176
카하, 94, 171
라타, 88, 141
마라, 93, 158
바하, 48, 163
라아, 58, 154
카카, 49, 194
차카, 77, 156
아파, 95, 178
사나, 85, 154
라라, 68, 153
자가, 80, 177
바나, 63, 171
라아, 50, 144
나카, 71, 144
나아, 64, 183
파바, 92, 170
차가, 45, 151
사자, 63, 192
가사, 75, 193
라가, 79, 149
카하, 99, 165
다라, 42, 190
타사, 45, 163
나파, 84, 156
마하, 72, 192
파하, 62, 198
바차, 85, 181
라차, 60, 180
가카, 47, 163
마라, 63, 151
가가, 81, 179
하바, 46, 186
바자, 81, 185
아파, 44, 184
파가, 45, 161
라타, 59, 176
다카, 42, 169
카다, 96, 162
마파, 85, 158
라바, 61, 150
사하, 42, 173
가사, 65, 178
차다, 47, 172
아다, 78, 147
하마, 48, 192
파파, 42, 168
바라, 40, 182
사라, 55, 172
라아, 76, 163
마하, 66, 147
자하, 74, 185
사가, 42, 143
하가, 82, 195
파바, 85, 170
카아, 42, 199
마타, 52, 153
아타, 55, 169
바바, 83, 145
가다, 92, 159
카바, 57, 163
아사, 94, 154
바자, 42, 175
파사, 93, 167
라자, 50, 157
차자, 84, 180
하다, 60, 160
하자, 74, 180
타바, 68, 152
다가, 50, 147
카나, 59, 198
